sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,gx_est,gy_est,gz_est,g_norm_est
2,125918,1259585731,99.0697393,2013,1910,2245,1731,1655,1915,0.00145614035087722,0.000140350877193214,-0.00324561403508748,0.0035600637009664
1,135305,1353502836,99.0707575,1958,976,0,1750,941,142,0.412628865979382,2.66333333333333,0,2.69510798030132
2,125919,1259595732,99.0846462,2014,1914,2242,1727,1658,1916,-0.0118771929824561,0.0101403508771932,8.77192982458534e-05,0.0156173660945238
2,125920,1259605731,99.0856854,2011,1907,2242,1733,1652,1914,0.00812280701754389,-0.00985964912280679,-0.00657894736842081,0.0143692457403155
1,135307,1353522835,99.0993364,1957,974,0,1750,940,142,0.412628865979382,2.66,0,2.69181399450992
1,135308,1353532834,99.1002913,1957,967,0,1750,943,142,0.412628865979382,2.67,0,2.70169624144526
2,125921,1259615729,99.1012909,2007,1910,2241,1734,1652,1915,0.0114561403508772,-0.00985964912280679,-0.00324561403508748,0.0154592963303191
2,125922,1259625729,99.1587406,2010,1915,2249,1723,1655,1919,-0.0252105263157894,0.000140350877193214,0.0100877192982459,0.027154233852717
1,135309,1353542836,99.1600463,1963,971,0,1755,940,142,0.429295532646048,2.66,0,2.69441916827168
2,125923,1259635731,99.1616859,2013,1909,2241,1730,1653,1914,-0.00187719298245611,-0.00652631578947345,-0.00657894736842081,0.00945511500478784
1,135310,1353552834,99.1627221,1959,971,0,1753,932,142,0.422628865979382,2.63333333333333,0,2.66703198383586
2,125924,1259645730,99.1637464,2007,1915,2250,1731,1652,1916,0.00145614035087722,-0.00985964912280679,8.77192982458534e-05,0.00996698150001304
1,135311,1353562835,99.1648048,1957,963,0,1744,936,142,0.392628865979382,2.64666666666667,0,2.67563111636203
2,125925,1259655731,99.1658225,2006,1911,2243,1730,1651,1916,-0.00187719298245611,-0.0131929824561401,8.77192982458534e-05,0.0133261522675035
1,135312,1353572834,99.1670281,1965,959,0,1754,930,142,0.425962199312715,2.62666666666667,0,2.66098131767608
2,125926,1259665730,99.1682799,2009,1917,2250,1731,1657,1915,0.00145614035087722,0.00680701754385988,-0.00324561403508748,0.00768048455689001
1,135313,1353582834,99.1692709,1954,953,0,1746,925,142,0.399295532646048,2.61,0,2.64036681587826
2,125927,1259675730,99.1704269,2007,1919,2245,1733,1651,1917,0.00812280701754389,-0.0131929824561401,0.00342105263157919,0.0158662655039022
1,135314,1353592837,99.1712615,1950,944,0,1740,917,142,0.379295532646048,2.58333333333333,0,2.61102972258003
2,125928,1259685730,99.172002,2010,1918,2249,1731,1657,1921,0.00145614035087722,0.00680701754385988,0.0167543859649125,0.0181429127106186
1,135315,1353602835,99.178299,1949,932,0,1744,912,142,0.392628865979382,2.56666666666667,0,2.59652367679905
2,125929,1259695731,99.1798742,2012,1914,2240,1726,1652,1917,-0.0152105263157894,-0.00985964912280679,0.00342105263157919,0.0184465821423976
1,135316,1353612835,99.1813069,1953,943,0,1747,916,142,0.402628865979382,2.58,0,2.61122768132537
2,125930,1259705732,99.1945799,2017,1918,2249,1730,1652,1919,-0.00187719298245611,-0.00985964912280679,0.0100877192982459,0.014230200805275
1,135317,1353622834,99.1955143,1945,933,0,1743,911,142,0.389295532646048,2.56333333333333,0,2.59272613083525
2,125931,1259715730,99.1965022,2009,1906,2242,1731,1651,1911,0.00145614035087722,-0.0131929824561401,-0.0165789473684208,0.0212376229049849
1,135318,1353632835,99.2087075,1951,941,0,1745,916,142,0.395962199312715,2.58,0,2.6102080498084
2,125932,1259725731,99.2097322,2009,1911,2249,1733,1658,1919,0.00812280701754389,0.0101403508771932,0.0100877192982459,0.0164489753600963
1,135319,1353642835,99.2109696,1942,938,0,1736,915,142,0.365962199312715,2.57666666666667,0,2.60252558919925
2,125933,1259735732,99.2242779,2003,1909,2245,1730,1650,1918,-0.00187719298245611,-0.0165263157894735,0.00675438596491252,0.0179517324186216
1,135320,1353652835,99.225022,1947,932,0,1739,912,142,0.375962199312715,2.56666666666667,0,2.59405577293354
2,125934,1259745731,99.2256027,2006,1920,2247,1731,1655,1917,0.00145614035087722,0.000140350877193214,0.00342105263157919,0.00372070479858543
1,135321,1353662834,99.2261453,1949,962,0,1741,934,142,0.382628865979382,2.64,0,2.66758408472548
2,125935,1259755731,99.2402265,2012,1913,2247,1730,1655,1914,-0.00187719298245611,0.000140350877193214,-0.00657894736842081,0.00684295991063535
1,135322,1353672836,99.2415347,1941,911,0,1734,891,142,0.359295532646048,2.49666666666667,0,2.52238730654589
2,125936,1259765731,99.253579,2015,1913,2244,1730,1655,1917,-0.00187719298245611,0.000140350877193214,0.00342105263157919,0.00390476029611886
1,135323,1353682834,99.2544753,1945,940,0,1744,914,142,0.392628865979382,2.57333333333333,0,2.60311387973033
2,125937,1259775731,99.255454,2013,1915,2241,1733,1657,1915,0.00812280701754389,0.00680701754385988,-0.00324561403508748,0.0110837490115679
1,135324,1353692834,99.2693056,1942,928,0,1742,909,142,0.385962199312715,2.55666666666667,0,2.5856355628245
2,125938,1259785730,99.2703677,2013,1908,2244,1725,1658,1915,-0.0185438596491228,0.0101403508771932,-0.00324561403508748,0.0213830647257056
1,135325,1353702835,99.2712619,1942,919,0,1734,900,142,0.359295532646048,2.52666666666667,0,2.55208497590183
2,125939,1259795731,99.2855245,2010,1914,2247,1733,1655,1918,0.00812280701754389,0.000140350877193214,0.00675438596491252,0.0105651039737428
1,135326,1353712835,99.2864097,1949,928,0,1741,901,142,0.382628865979382,2.53,0,2.55877018293567
2,125940,1259805731,99.2872179,2014,1909,2241,1734,1651,1915,0.0114561403508772,-0.0131929824561401,-0.00324561403508748,0.0177716613824306
1,135327,1353722835,99.2880999,1954,937,0,1745,915,142,0.395962199312715,2.57666666666667,0,2.60691334232568
2,125941,1259815730,99.3025849,2012,1913,2250,1734,1654,1916,0.0114561403508772,-0.00319298245614012,8.77192982458534e-05,0.0118931065487324
1,135328,1353732836,99.303844,1943,944,0,1741,915,142,0.382628865979382,2.57666666666667,0,2.60492148829706
2,125942,1259825731,99.3053103,2012,1908,2239,1727,1648,1913,-0.0118771929824561,-0.0231929824561401,-0.00991228070175415,0.0278789428971705
1,135329,1353742834,99.3170389,1978,935,0,1770,915,142,0.479295532646048,2.57666666666667,0,2.62086537592559
1,135330,1353752835,99.3177298,1950,919,0,1737,892,142,0.369295532646048,2.5,0,2.52712864540615
2,125943,1259835731,99.3328634,2007,1911,2245,1733,1655,1915,0.00812280701754389,0.000140350877193214,-0.00324561403508748,0.0087483542839637
2,125944,1259845730,99.333918,2007,1913,2254,1731,1654,1916,0.00145614035087722,-0.00319298245614012,8.77192982458534e-05,0.00351043820084561
1,135331,1353762836,99.3347506,1917,848,0,1715,837,142,0.295962199312715,2.31666666666667,0,2.33549525109054
2,125945,1259855731,99.3355564,2003,1911,2246,1732,1654,1920,0.00478947368421056,-0.00319298245614012,0.0134210526315792,0.0146033848431308
1,135332,1353772835,99.3485015,2000,893,0,1786,872,142,0.532628865979382,2.43333333333333,0,2.49094452366679
2,125946,1259865731,99.349233,2006,1910,2247,1726,1655,1919,-0.0152105263157894,0.000140350877193214,0.0100877192982459,0.0182521749337512
1,135333,1353782834,99.3498137,1874,832,0,1681,826,142,0.182628865979382,2.28,0,2.28730262595244
2,125947,1259875730,99.3635692,2006,1917,2247,1729,1650,1917,-0.00521052631578944,-0.0165263157894735,0.00342105263157919,0.0176627375898802
1,135334,1353792836,99.3643514,1894,813,0,1695,807,142,0.229295532646048,2.21666666666667,0,2.22849445868787
2,125948,1259885731,99.3649754,2011,1913,2245,1735,1654,1921,0.0147894736842106,-0.00319298245614012,0.0167543859649125,0.0225750552132754
2,125949,1259895731,99.4139424,2013,1918,2253,1734,1655,1915,0.0114561403508772,0.000140350877193214,-0.00324561403508748,0.0119078486962374
1,135336,1353812834,99.4154091,1934,877,0,1726,865,142,0.332628865979382,2.41,0,2.43284647326598
2,125950,1259905731,99.4164843,2010,1910,2242,1728,1652,1915,-0.00854385964912278,-0.00985964912280679,-0.00324561403508748,0.0134441150319956
1,135337,1353822834,99.4172214,1997,821,0,1777,818,142,0.502628865979382,2.25333333333333,0,2.3087110880374
2,125951,1259915731,99.4178977,2010,1917,2243,1731,1654,1915,0.00145614035087722,-0.00319298245614012,-0.00324561403508748,0.00478011424041605
1,135338,1353832835,99.4187255,1897,929,0,1696,907,142,0.232628865979382,2.55,0,2.56058903170479
2,125952,1259925731,99.4197053,2014,1917,2251,1733,1657,1918,0.00812280701754389,0.00680701754385988,0.00675438596491252,0.0125673072473654
1,135339,1353842835,99.4206984,1899,848,0,1704,841,142,0.259295532646048,2.33,0,2.34438353800102
