seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,gx_est,gy_est,gz_est,g_norm_est
79441,794814747,50.006173,3376,1917,0,2818,1714,142,-0.959650959860384,0.016753926701571,0,0.95979719671443
79443,794834747,50.1329332,3349,1903,0,2806,1705,142,-0.999650959860384,-0.013246073298429,0,0.999738715869109
79444,794844747,50.1344173,3373,1906,0,2814,1708,142,-0.972984293193717,-0.00324607329842896,0,0.97298970795869
79445,794854746,50.135762,3371,1904,0,2815,1705,142,-0.969650959860384,-0.013246073298429,0,0.969741430699953
79446,794864746,50.1369876,3351,1872,0,2807,1681,142,-0.996317626527051,-0.093246073298429,0,1.00067159603642
79447,794874747,50.1387115,2969,1207,0,2544,1141,142,-1.87298429319372,-1.89324607329843,0,2.66316557063399
79448,794884746,50.1401848,3134,1701,0,2676,1545,142,-1.43298429319372,-0.546579406631762,0,1.53368609314091
79449,794894746,50.1418713,3195,1803,0,2713,1626,142,-1.30965095986038,-0.276579406631762,0,1.33853718843968
79450,794904747,50.1437093,3240,1882,0,2738,1686,142,-1.22631762652705,-0.0765794066317623,0,1.22870636307094
79451,794914747,50.1461598,3162,1878,0,2684,1681,142,-1.40631762652705,-0.093246073298429,0,1.40940558281364
79452,794924747,50.1475188,3312,1949,0,2786,1749,142,-1.06631762652705,0.133420593368238,0,1.07463218608834
79453,794934747,50.1491878,3309,1879,0,2774,1681,142,-1.10631762652705,-0.093246073298429,0,1.11024029874168
79454,794944747,50.1525176,3351,1761,0,2801,1585,142,-1.01631762652705,-0.413246073298429,0,1.09712070215002
79455,794954746,50.1537927,2993,1724,0,2573,1566,142,-1.77631762652705,-0.476579406631762,0,1.83913899451243
79456,794964747,50.1650076,3258,1749,0,2748,1585,142,-1.19298429319372,-0.413246073298429,0,1.26253072869673
79457,794974746,50.1707348,3332,1878,0,2790,1685,142,-1.05298429319372,-0.0799127399650956,0,1.05601229525106
79458,794984746,50.1826124,3248,1856,0,2743,1666,142,-1.20965095986038,-0.143246073298429,0,1.21810298505774
79459,794994747,50.1959711,3203,1818,0,2710,1632,142,-1.31965095986038,-0.256579406631762,0,1.34436291520108
79460,795004746,50.1969865,3253,1759,0,2741,1591,142,-1.21631762652705,-0.393246073298429,0,1.27830788261867
79461,795014747,50.3800582,3282,1847,0,2760,1658,142,-1.15298429319372,-0.169912739965096,0,1.16543687926625
79462,795024746,50.3812483,3277,1839,0,2752,1647,142,-1.17965095986038,-0.206579406631762,0,1.1976023707157
79463,795034746,50.3822374,3221,1797,0,2730,1612,142,-1.25298429319372,-0.323246073298429,0,1.294008370488
79464,795044747,50.383301,3278,1833,0,2759,1644,142,-1.15631762652705,-0.216579406631762,0,1.17642555769335
79465,795054747,50.3846442,3286,1856,0,2766,1663,142,-1.13298429319372,-0.153246073298429,0,1.14330125846386
79466,795064747,50.3861303,3278,1841,0,2760,1653,142,-1.15298429319372,-0.186579406631762,0,1.1679831571262
79467,795074747,50.3873082,3280,1863,0,2760,1673,142,-1.15298429319372,-0.119912739965096,0,1.15920310798296
79468,795084747,50.3887041,3280,1868,0,2760,1672,142,-1.15298429319372,-0.123246073298429,0,1.15955266156173
79469,795094747,50.3900553,3279,1872,0,2759,1679,142,-1.15631762652705,-0.0999127399650956,0,1.16062612801215
79470,795104746,50.39203,3277,1882,0,2760,1683,142,-1.15298429319372,-0.0865794066317623,0,1.15623041561971
79471,795114747,50.3950378,3278,1889,0,2760,1691,142,-1.15298429319372,-0.0599127399650956,0,1.15453987231344
79472,795124747,50.3967719,3269,1899,0,2757,1703,142,-1.16298429319372,-0.0199127399650956,0,1.1631547547202
79473,795134746,50.397963,3279,1895,0,2758,1704,142,-1.15965095986038,-0.0165794066317623,0,1.15976947081279
79474,795144746,50.3990738,3225,1879,0,2731,1690,142,-1.24965095986038,-0.063246073298429,0,1.2512504094975
79475,795154747,50.4000366,3238,1895,0,2734,1697,142,-1.23965095986038,-0.0399127399650956,0,1.24029332381267
79476,795164747,50.402017,3142,1872,0,2676,1679,142,-1.43298429319372,-0.0999127399650956,0,1.43646320528833
79477,795174746,50.4042496,3175,1883,0,2695,1690,142,-1.36965095986038,-0.063246073298429,0,1.37111043232635
79478,795184747,50.4063884,3274,1776,0,2754,1594,142,-1.17298429319372,-0.383246073298429,0,1.2340055529769
79479,795194746,50.4079105,2629,1376,0,2300,1284,142,-2.68631762652705,-1.41657940663176,0,3.03693918376432
79480,795204746,50.4094177,2490,1648,0,2190,1496,142,-3.05298429319372,-0.709912739965096,0,3.13443602468646
79481,795214746,50.4156596,2501,1716,0,2195,1548,142,-3.03631762652705,-0.536579406631762,0,3.08336539981562
79482,795224746,50.5447354,2445,1744,0,2151,1575,142,-3.18298429319372,-0.446579406631762,0,3.21415963778178
79483,795234746,50.5457284,2546,1854,0,2235,1664,142,-2.90298429319372,-0.149912739965096,0,2.90685253085417
79484,795244746,50.5466217,2559,1770,0,2243,1596,142,-2.87631762652705,-0.376579406631762,0,2.90086455012455
79485,795254746,50.547287,2605,1699,0,2282,1530,142,-2.74631762652705,-0.596579406631762,0,2.81036785745039
79486,795264746,50.5479315,2457,1568,0,2153,1431,142,-3.17631762652705,-0.926579406631762,0,3.30870715860145
79487,795274746,50.5485426,2464,1577,0,2169,1435,142,-3.12298429319372,-0.913246073298429,0,3.25377462125601
79488,795284746,50.5491225,2559,1756,0,2243,1578,142,-2.87631762652705,-0.436579406631762,0,2.9092618766562
79489,795294746,50.5496905,2493,1734,0,2184,1563,142,-3.07298429319372,-0.486579406631762,0,3.11126854918913
79490,795304746,50.550281,2471,1729,0,2167,1558,142,-3.12965095986038,-0.503246073298429,0,3.16985358350276
79491,795314746,50.5511098,2466,1618,0,2168,1476,142,-3.12631762652705,-0.776579406631762,0,3.22132542235929
79492,795324746,50.5518255,2496,1726,0,2191,1560,142,-3.04965095986038,-0.496579406631762,0,3.08981586572212
79493,795334746,50.5526213,2511,1711,0,2202,1545,142,-3.01298429319372,-0.546579406631762,0,3.062159923777
79494,795344746,50.5538312,2485,1682,0,2179,1523,142,-3.08965095986038,-0.619912739965096,0,3.15122751621288
79495,795354746,50.555098,2498,1691,0,2191,1523,142,-3.04965095986038,-0.619912739965096,0,3.11201908447689
79496,795364746,50.5705585,2559,1709,0,2243,1548,142,-2.87631762652705,-0.536579406631762,0,2.92593925915961
79497,795374746,50.5720323,2618,1710,0,2292,1546,142,-2.71298429319372,-0.543246073298429,0,2.76683936491983
79498,795384746,50.5856558,2635,1725,0,2301,1561,142,-2.68298429319372,-0.493246073298429,0,2.72794728804435
79499,795394746,50.5865964,2645,1712,0,2319,1543,142,-2.62298429319372,-0.553246073298429,0,2.68069539857871
79500,795404748,50.6013831,2863,1744,0,2505,1575,142,-2.00298429319372,-0.446579406631762,0,2.05216452683704
79501,795414751,50.6166941,3050,1821,0,2617,1640,142,-1.62965095986038,-0.229912739965096,0,1.64578920854772
79502,795424746,50.6178459,3191,1846,0,2710,1658,142,-1.31965095986038,-0.169912739965096,0,1.33054462347675
79503,795434746,50.7370894,3226,1844,0,2725,1655,142,-1.26965095986038,-0.179912739965096,0,1.28233464972141
79504,795444747,50.7380556,3283,1800,0,2762,1626,142,-1.14631762652705,-0.276579406631762,0,1.17921171511285
