window_id,t_start_s,t_end_s,n_samples,rms_x,rms_y,rms_z,std_x,std_y,std_z,ptp_x,ptp_y,ptp_z,norm_rms,norm_mean_abs,jerk_rms,motion_threshold,is_motion
152,37.749237,38.739237,100,4.9096271258178,4.92056265952178,7.06337227503085,4.933906600599,4.93271904447407,7.09363066134656,35,39,60,9.90997493924785,7.86107893983191,1332.08133698416,10.5746734583437,0
153,37.999237,38.989237,100,6.18879046548672,4.84847116336849,7.02853376990775,6.21723736108253,4.87288933847779,7.06371436328371,43,39,60,10.5455719144316,8.36332714598201,1440.40143397744,10.5746734583437,0
154,38.249237,39.239237,100,6.61295250038735,4.59748356580695,7.64057622649312,6.63781636237445,4.60386311216521,7.64523354513097,48,39,45,11.1016395628347,8.57655534465246,1535.27415731659,10.5746734583437,1
155,38.499237,39.489237,100,6.61672885437655,5.19689131071217,6.42741329328953,6.64902970061015,5.07917117234493,6.45979015827054,48,35,45,10.5877486592028,8.27639583729433,1485.41599476984,10.5746734583437,1
156,38.749237,39.739237,100,7.15125731769889,5.62279949463645,6.89528691567133,7.17526615843931,5.58283806034895,6.90070996201101,48,57,45,11.4149611050697,9.12526150471513,1581.9053119302,10.5746734583437,1
157,38.999237,39.989237,100,6.18140935996837,5.94274357099011,6.63747914979093,6.19272952662224,5.92972311002935,6.6193701064422,44,57,45,10.8435304347781,8.71695841327137,1482.75674464134,10.5746734583437,1
158,39.249237,40.239237,100,5.28372876323838,6.33906475946979,5.08000490002023,5.30865502569325,6.33298244642022,4.85448870696602,41,57,32,9.69061305864876,8.00004805053453,1295.91219987724,10.5746734583437,0
159,39.499237,40.489237,100,4.75806004940115,6.33451137160904,4.99067766253342,4.77413062581275,6.36381024293472,4.84440737637565,41,55,32,9.36333451725727,7.49601856917221,1284.24593758622,10.5746734583437,0
160,39.749237,40.739237,100,3.99613505698534,5.86558209695024,5.4575524012746,4.01234207027378,5.85752559197193,5.43927914118752,30,55,45,8.95315737281483,7.12409442946028,1266.78403342042,10.5746734583437,0
161,39.999237,40.989237,100,3.92629226600881,5.98660848036328,5.61749347135175,3.94532071643809,5.94189882244402,5.59476667443908,23,55,43,9.10008159062091,7.35036937704498,1296.42094985541,10.5746734583437,0
162,40.249237,41.239237,100,4.23285522568812,5.50050396114335,5.44366820486304,4.21985446634972,5.51196128176869,5.43152042630921,24,46,43,8.82077835073672,7.21878630769733,1271.40271156769,10.5746734583437,0
163,40.499237,41.489237,100,4.68840065825642,4.6543267727031,5.83598624083213,4.71056195579614,4.64361188226701,5.77976267381772,24,30,43,8.81490747782539,7.52989759161425,1278.13281736005,10.5746734583437,0
164,40.749237,41.739237,100,4.96767447036062,4.55837914575971,5.57129751707828,4.99090081138575,4.5811537517278,5.56961453429284,26,29,50,8.74619723672935,7.4843138784104,1210.79789477278,10.5746734583437,0
165,40.999237,41.989237,100,4.726005158309,4.70452876211856,5.02478010293602,4.7473118390274,4.72812346657229,5.04415853770828,26,26,50,8.34961859684775,7.08751257105121,1172.26912269267,10.5746734583437,0
166,41.249237,42.239237,100,4.60345670855029,5.4327908880145,5.5935770999023,4.60885182572787,5.4287952790484,5.60324581259502,29,39,50,9.0551165245369,7.58902600407785,1221.43017143647,10.5746734583437,0
167,41.499237,42.489237,100,5.25685570862716,6.23260649057787,6.21328240245509,5.1900740540833,6.16359464840924,6.20442168818727,38,40,49,10.2510874457483,8.43836864968872,1364.55833923166,10.5746734583437,0
168,41.749237,42.739236,100,5.28701616692573,5.96199494015161,5.55607655224739,5.20299059302543,5.88698272942648,5.47076712438877,38,38,34,9.7143147092402,8.02677299200931,1285.35458532051,10.5746734583437,0
169,41.999237,42.989237,100,5.66550290003215,6.23636677507667,6.14087944854103,5.45227225359049,6.10513941468393,6.11469500052905,38,40,48,10.4259577049337,8.33341884774464,1378.9866772028,10.5746734583437,0
170,42.249237,43.239237,100,5.81950089498387,5.90971457368313,5.61677916686436,5.61076706616012,5.88182442664337,5.63189868767921,42,44,48,10.0169618756608,7.98022630266278,1353.06757175953,10.5746734583437,0
171,42.499237,43.489237,100,5.14993466115607,6.27070756688987,4.66088230112467,5.14591139064831,6.28736105937213,4.65551698351949,40,52,40,9.35774674954199,7.34363258735374,1273.93288817986,10.5746734583437,0
172,42.749237,43.739237,100,5.13015749517595,6.55889859403447,4.99865313869446,5.09238885420431,6.57340832214894,5.00636968009129,40,52,42,9.71206465655564,7.74526981728066,1314.28742885947,10.5746734583437,0
173,42.999237,43.989237,100,4.76694790330339,5.9203289811157,4.92577980030438,4.78814824711638,5.94975595798651,4.94776758148602,32,52,34,9.05744965200104,7.48405121966126,1237.17727085618,10.5746734583437,0
174,43.249237,44.239237,100,4.24206294896755,5.80105713469023,4.92023631476904,4.26088623588468,5.82710489996117,4.94490861514358,29,52,34,8.7095400186299,7.24664310991013,1185.30873204819,10.5746734583437,0
175,43.499237,44.489237,100,4.65751649157079,4.38201974509932,4.44716395789278,4.67773579001766,4.39093418651465,4.46924394211609,24,31,34,7.78921203871578,6.67575207675236,1057.91939927274,10.5746734583437,0
176,43.749237,44.739237,100,4.39132541792208,3.93156187727669,3.99973597741167,4.39157825797965,3.93301231355635,4.00297868890635,27,23,32,7.12311768890177,6.20376128125273,1003.22962435171,10.5746734583437,0
177,43.999237,44.989237,100,5.05685016461992,3.92839159749515,4.79528568136229,5.05775731830908,3.92571167066713,4.81579891522883,35,23,42,7.99992243065926,6.51459154801385,1103.43987519657,10.5746734583437,0
178,44.249237,45.239237,100,5.05645622975543,4.47878046166785,5.95432089089237,5.07195696696526,4.49263145313939,5.97252970784668,35,36,42,9.00450783213427,6.95323095855936,1249.76911094922,10.5746734583437,0
179,44.499237,45.489236,100,4.6209392311143,4.49317893474841,6.14767738838964,4.63036748328931,4.51416401647933,6.16723175134091,35,36,42,8.90705751575879,6.95295796373,1257.38458017011,10.5746734583437,0
180,44.749237,45.739237,100,6.05599907169439,4.87140899278317,7.08276798081435,6.08455570948431,4.88091521472493,7.11521346315503,53,36,67,10.515291370256,7.98773179599047,1486.25982523087,10.5746734583437,0
181,44.999237,45.989236,100,6.17946688624194,4.86949041340879,6.19260971504435,6.19925052491888,4.88125666879613,6.21899176602274,53,36,62,10.0123005831478,7.84380302596712,1453.4095292044,10.5746734583437,0
182,45.249237,46.239237,100,6.16380455259688,4.7673205921519,5.65368323619634,6.1765604497891,4.7889181840722,5.63506338863542,53,29,48,9.62725123419022,7.86054296617141,1407.15098894191,10.5746734583437,0
183,45.499237,46.489237,100,6.10872304495448,4.90855398105309,6.31445688085252,6.11046461226786,4.93328214551659,6.32662323962488,53,29,60,10.0639338792053,8.228178111004,1473.77008034213,10.5746734583437,0
184,45.749237,46.739237,100,4.672809802434,4.74474349924216,5.24433978376177,4.674193064913,4.76854169521353,5.27069274575952,34,29,41,8.47648760341632,7.33977335156315,1279.40230834169,10.5746734583437,0
185,45.999237,46.989237,100,4.01353325536365,4.8576930874156,5.05517208073851,4.03339594241414,4.87661913023912,5.07718207057594,20,29,41,8.07839068684558,7.09998386252626,1212.85505161772,10.5746734583437,0
186,46.249237,47.239237,100,4.09045070550137,4.36380045034497,5.641077475938,4.10974451760691,4.38551334198487,5.5995219853704,20,24,40,8.22169668828171,7.07842732941284,1208.14496178828,10.5746734583437,0
187,46.499237,47.489237,100,4.67686640579472,4.83811385028872,6.72793319572946,4.68674253139167,4.86010350307543,6.73806464435562,27,36,54,9.51554045192416,7.74079363433519,1311.91671993611,10.5746734583437,0
