seq,t_us,time_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,mv_x_centered,mv_y_centered,mv_z_centered,mv_norm,mv_norm_centered
6622,66559300,66.219237,1945,1713,1456,1741,1562,1325,-1.93337782226672,7.18852185518858,-10.2135468802135,2688.22432099704,12.6384071836792
6623,66569300,66.229237,1947,1707,1456,1735,1557,1333,-7.93337782226672,2.18852185518858,-2.21354688021347,2685.3981082886,8.52220050059692
6624,66579300,66.239237,1949,1719,1449,1742,1548,1337,-0.933377822266721,-6.81147814481142,1.78645311978653,2686.7149085826,7.10343884506216
6625,66589300,66.249237,1937,1719,1456,1740,1552,1337,-2.93337782226672,-2.81147814481142,1.78645311978653,2687.72636256,4.43852785911202
6626,66599300,66.259237,1947,1727,1454,1744,1562,1332,1.06662217773328,7.18852185518858,-3.21354688021347,2693.62283922601,7.94603126622883
6627,66609300,66.269237,1948,1719,1459,1741,1572,1338,-1.93337782226672,17.1885218551886,2.78645311978653,2700.4645896586,17.5199187885874
6628,66619300,66.279237,1948,1726,1455,1740,1557,1335,-2.93337782226672,2.18852185518858,-0.213546880213471,2689.62339371147,3.66605177661926
6629,66629300,66.289237,1946,1724,1462,1741,1553,1337,-1.93337782226672,-1.81147814481142,1.78645311978653,2688.95128256352,3.19543700015463
6630,66639300,66.299237,1952,1717,1456,1740,1534,1342,-2.93337782226672,-20.8114781448114,6.78645311978653,2679.87313132544,22.0857029312447
6631,66649300,66.309237,1941,1725,1455,1740,1553,1336,-2.93337782226672,-1.81147814481142,0.786453119786529,2687.80672668256,3.53619386161415
6632,66659300,66.319237,1951,1723,1456,1743,1549,1342,0.0666221777332794,-5.81147814481142,6.78645311978653,2690.4300771438,8.93496853319848
6633,66669300,66.329237,1941,1717,1459,1744,1553,1335,1.06662217773328,-1.81147814481142,-0.213546880213471,2689.90148518491,2.11299271395119
6634,66679300,66.339237,1941,1719,1455,1734,1570,1340,-8.93337782226672,15.1885218551886,4.78645311978653,2695.78485788462,18.2594241127376
6635,66689300,66.349237,1953,1715,1454,1744,1554,1346,1.06662217773328,-0.811478144811417,10.7864531197865,2695.95400554238,10.8693951328899
6636,66699300,66.359237,1951,1731,1459,1750,1553,1336,7.06662217773328,-1.81147814481142,0.786453119786529,2694.29118693581,7.3373776365663
6637,66709300,66.369237,1956,1722,1456,1743,1552,1332,0.0666221777332794,-2.81147814481142,-3.21354688021347,2687.1875632341,4.2703315356829
6638,66719300,66.379237,1952,1721,1455,1742,1558,1338,-0.933377822266721,3.18852185518858,2.78645311978653,2692.98570363825,4.33614884072061
