sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
1,182942,1829835301,6.8712947,1840,1737,1195,1649,1566,1126
2,182880,1829215532,6.8739216,2000,1897,2284,1723,1638,1943
1,182943,1829845301,6.8747989,1840,1738,1198,1655,1568,1122
2,182881,1829225530,6.8860094,2002,1899,2285,1723,1642,1946
1,182944,1829855301,6.8879786,1841,1735,1191,1652,1568,1126
2,182882,1829235532,6.8889653,2000,1898,2276,1723,1638,1948
1,182945,1829865301,6.9048008,1839,1735,1189,1653,1562,1118
2,182883,1829245530,6.9055492,2000,1894,2276,1721,1643,1948
2,182885,1829265531,6.9202799,2000,1894,2281,1723,1640,1941
1,182947,1829885301,6.9324797,1840,1729,1188,1647,1570,1123
1,182948,1829895301,6.9332415,1839,1739,1198,1653,1566,1121
2,182886,1829275531,6.9337633,2000,1902,2276,1723,1643,1945
1,182949,1829905301,6.9482719,1840,1733,1194,1650,1563,1118
2,182887,1829285531,6.949603,1999,1895,2285,1723,1639,1945
1,182950,1829915301,6.9515137,1840,1735,1194,1650,1563,1126
2,182888,1829295531,6.9537292,2000,1893,2283,1723,1643,1941
1,182951,1829925301,6.9637813,1840,1737,1197,1653,1564,1121
2,182889,1829305531,6.9648085,2000,1893,2278,1723,1643,1945
1,182952,1829935301,6.965594,1840,1737,1190,1651,1568,1126
2,182890,1829315532,6.9797114,2000,1893,2279,1723,1642,1948
1,182953,1829945301,6.980577,1840,1735,1190,1653,1565,1123
2,182891,1829325530,6.981417,2000,1898,2277,1723,1642,1939
1,182954,1829955301,6.9825354,1838,1741,1190,1652,1569,1120
2,182892,1829335532,6.994934,2000,1897,2279,1723,1643,1948
1,182955,1829965301,6.9960152,1837,1735,1195,1653,1570,1122
2,182893,1829345532,6.9969756,2000,1893,2272,1723,1640,1943
1,182956,1829975301,7.0107897,1840,1738,1191,1653,1569,1118
2,182894,1829355532,7.0117918,2000,1897,2285,1723,1638,1945
2,182895,1829365531,7.0257474,1999,1898,2282,1723,1645,1943
1,182958,1829995301,7.0267902,1839,1739,1191,1653,1569,1121
2,182897,1829385531,7.0888753,2000,1895,2283,1723,1641,1949
1,182960,1830015301,7.0899332,1839,1739,1194,1650,1571,1117
2,182898,1829395531,7.090651,2000,1903,2285,1723,1642,1948
1,182961,1830025301,7.0912722,1838,1731,1195,1650,1566,1121
2,182899,1829405532,7.091877,2000,1897,2278,1723,1639,1945
1,182962,1830035301,7.0923547,1840,1737,1193,1653,1565,1121
2,182900,1829415532,7.092873,1999,1901,2280,1723,1643,1945
1,182963,1830045301,7.0933238,1840,1731,1198,1652,1572,1126
2,182901,1829425531,7.0937532,2000,1894,2283,1723,1640,1939
1,182964,1830055301,7.0941848,1840,1734,1191,1654,1569,1120
2,182902,1829435531,7.0946037,1996,1894,2282,1723,1641,1948
1,182965,1830065300,7.0950124,1840,1735,1196,1653,1566,1121
2,182903,1829445533,7.104173,2000,1890,2282,1720,1640,1945
1,182966,1830075301,7.1049956,1841,1730,1193,1649,1569,1122
2,182904,1829455530,7.1057685,2000,1901,2284,1723,1641,1943
1,182967,1830085301,7.1219954,1839,1733,1190,1653,1566,1122
1,182968,1830095301,7.1365049,1840,1731,1190,1652,1566,1121
2,182906,1829475532,7.1381121,2001,1895,2281,1723,1643,1943
2,182907,1829485530,7.139686,2000,1899,2282,1723,1643,1945
1,182970,1830115301,7.1512657,1842,1737,1194,1653,1568,1123
2,182908,1829495532,7.152417,1999,1894,2277,1723,1643,1946
2,182909,1829505531,7.1535506,1997,1895,2279,1723,1640,1941
2,182910,1829515532,7.168135,2000,1898,2279,1723,1641,1946
1,182972,1830135301,7.1688981,1838,1731,1198,1654,1571,1123
1,182973,1830145301,7.1828702,1840,1734,1198,1652,1566,1126
2,182911,1829525530,7.1838517,2000,1898,2282,1723,1642,1941
1,182974,1830155301,7.1845963,1836,1731,1187,1653,1569,1125
2,182912,1829535531,7.198503,2000,1898,2281,1721,1640,1945
1,182975,1830165302,7.1993392,1841,1731,1194,1650,1562,1126
2,182913,1829545530,7.200045,2000,1895,2278,1723,1645,1943
1,182976,1830175301,7.2006916,1840,1737,1191,1653,1562,1120
2,182914,1829555530,7.2145125,2002,1900,2278,1721,1637,1939
1,182977,1830185301,7.215253,1837,1734,1194,1653,1561,1121
2,182915,1829565531,7.2160199,2000,1893,2279,1723,1638,1949
1,182978,1830195300,7.2300539,1840,1732,1189,1653,1569,1126
2,182916,1829575531,7.2311519,2000,1896,2282,1721,1643,1945
1,182979,1830205302,7.2449709,1836,1737,1195,1652,1569,1124
2,182917,1829585532,7.2462929,1999,1897,2279,1723,1643,1946
1,182980,1830215301,7.2476167,1840,1731,1193,1653,1569,1121
2,182918,1829595532,7.2483916,2000,1898,2279,1723,1639,1941
1,182981,1830225301,7.2603609,1841,1733,1194,1653,1565,1121
2,182919,1829605531,7.2611083,1999,1897,2284,1723,1642,1942
1,182982,1830235301,7.2616932,1841,1731,1197,1655,1570,1122
2,182920,1829615531,7.2773,2000,1899,2277,1723,1640,1941
1,182983,1830245300,7.2919873,1840,1735,1197,1652,1569,1122
2,182921,1829625531,7.2925775,1999,1900,2283,1722,1641,1945
1,182984,1830255301,7.2932152,1840,1728,1196,1653,1561,1123
2,182922,1829635532,7.2940044,2000,1899,2281,1723,1638,1943
