seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
74881,749214746,4.4442846,3828,1899,0,3040,1697,142
74882,749224747,4.4446898,3845,1893,0,3040,1701,142
74883,749234746,4.4454724,3835,1889,0,3042,1695,142
74884,749244746,4.4461991,3842,1891,0,3040,1697,142
74885,749254746,4.446638,3840,1893,0,3043,1699,142
74886,749264747,4.4632784,3846,1899,0,3042,1696,142
74887,749274747,4.4783076,3836,1895,0,3046,1694,142
74889,749294747,4.4938461,3814,1891,0,3030,1694,142
74890,749304747,4.5098717,3798,1898,0,3031,1695,142
74891,749314746,4.5106979,3815,1888,0,3027,1695,142
74892,749324747,4.5263473,3820,1896,0,3031,1694,142
74893,749334746,4.5270486,3824,1890,0,3034,1694,142
74894,749344747,4.6250435,3825,1897,0,3035,1693,142
74895,749354746,4.6258015,3824,1893,0,3034,1699,142
74896,749364747,4.6267943,3829,1895,0,3039,1700,142
74897,749374746,4.6276504,3834,1897,0,3039,1702,142
74898,749384746,4.6281831,3856,1894,0,3046,1696,142
74899,749394747,4.6287612,3850,1899,0,3048,1702,142
74900,749404747,4.6294517,3865,1904,0,3054,1705,142
74901,749414747,4.6300586,3863,1879,0,3051,1692,142
74902,749424746,4.6305478,3751,1949,0,2998,1749,142
74903,749434746,4.6370557,3874,1456,0,3058,1337,142
74904,749444747,4.6378296,3860,2098,0,3080,1897,142
74905,749454747,4.6516966,3938,1904,0,3084,1704,142
74906,749464747,4.6671753,3939,2173,0,3088,1928,142
74907,749474747,4.6680037,3952,2095,0,3090,1855,142
74908,749484746,4.6827831,3920,1972,0,3072,1764,142
74909,749494746,4.6979088,3906,1996,0,3075,1775,142
74910,749504746,4.6985764,3946,1739,0,3090,1553,142
74911,749514747,4.7143128,3886,1943,0,3069,1742,142
74912,749524747,4.7291935,3950,2010,0,3088,1786,142
74913,749534747,4.7296864,3885,1858,0,3055,1674,142
74914,749544746,4.8279802,3908,1890,0,3070,1693,142
74915,749554746,4.8287708,3898,1899,0,3062,1704,142
74916,749564746,4.8296953,3888,1893,0,3065,1693,142
74917,749574746,4.8304306,3895,1884,0,3065,1689,142
74918,749584747,4.8309067,3881,1894,0,3058,1700,142
74919,749594747,4.8312988,3872,1872,0,3057,1684,142
74920,749604746,4.8317109,3873,1891,0,3060,1694,142
74921,749614746,4.8321055,3887,1927,0,3060,1721,142
74922,749624746,4.8324842,3855,1918,0,3044,1716,142
74923,749634747,4.8398525,3837,1875,0,3041,1681,142
74924,749644747,4.8552498,3831,1901,0,3035,1698,142
74925,749654747,4.8558918,3831,1889,0,3040,1695,142
74926,749664747,4.8564491,3833,1886,0,3040,1692,142
74927,749674747,4.8729227,3824,1903,0,3034,1705,142
74928,749684746,4.888008,3824,1887,0,3037,1694,142
74930,749704747,4.9051953,3866,1901,0,3048,1704,142
74932,749724747,4.9208809,3866,1899,0,3050,1705,142
74933,749734747,4.9351597,3871,1888,0,3059,1691,142
74934,749744746,4.9499733,3878,1901,0,3058,1703,142
74935,749754746,4.9506544,3872,1895,0,3052,1699,142
74936,749764747,5.0466466,3855,1923,0,3048,1717,142
74937,749774746,5.0473279,3869,1888,0,3049,1695,142
74938,749784747,5.0479739,3789,2115,0,3021,1877,142
74939,749794747,5.048511,3898,1363,0,3060,1259,142
74941,749814746,5.0489279,3835,2134,0,3037,1908,142
74942,749824746,5.0493274,3863,2059,0,3047,1832,142
74943,749834747,5.049782,3823,1841,0,3032,1653,142
74944,749844747,5.0501839,3850,1815,0,3046,1632,142
74945,749854746,5.059357,3867,1968,0,3059,1763,142
74946,749864747,5.0603612,3888,1894,0,3062,1704,142
74947,749874747,5.0760689,3863,1886,0,3051,1691,142
74948,749884746,5.0909744,3856,1908,0,3052,1704,142
74949,749894746,5.0917154,3868,1878,0,3056,1685,142
74950,749904746,5.1071816,3887,1910,0,3062,1710,142
74952,749924747,5.1234252,3875,1903,0,3057,1703,142
74954,749944746,5.1389872,3867,1889,0,3052,1696,142
74955,749954747,5.1544484,3856,1895,0,3052,1692,142
74956,749964746,5.2552358,3917,1842,0,3075,1656,142
74957,749974747,5.2559736,3875,1950,0,3051,1744,142
74958,749984746,5.2567274,3810,1791,0,3024,1615,142
74959,749994747,5.2574868,3909,1955,0,3072,1744,142
74960,750004747,5.2580127,3903,1954,0,3070,1753,142
74961,750014746,5.2584023,3914,1855,0,3070,1668,142
74962,750024747,5.2587997,3887,1905,0,3060,1708,142
74963,750034747,5.2592001,3892,1911,0,3068,1708,142
74964,750044747,5.2595875,3893,1876,0,3066,1680,142
74965,750054746,5.2599682,3894,1925,0,3066,1714,142
74966,750064747,5.2654083,3885,1889,0,3065,1695,142
74967,750074746,5.2658806,3878,1921,0,3056,1718,142
74968,750084746,5.2789083,3833,2054,0,3037,1829,142
74969,750094747,5.2952202,4042,1555,0,3121,1402,142
74970,750104747,5.3097356,3888,1866,0,3062,1676,142
74971,750114747,5.3131821,3861,2037,0,3048,1818,142
74972,750124746,5.3280302,3850,2096,0,3044,1849,142
74973,750134746,5.3286756,3872,1825,0,3058,1635,142
74974,750144747,5.3423339,3905,1866,0,3063,1679,142
74975,750154746,5.3580171,3919,1964,0,3076,1752,142
74976,750164747,5.3586486,3919,1878,0,3078,1680,142
74977,750174747,5.4571658,3894,1898,0,3074,1704,142
74979,750194747,5.4578587,3889,1886,0,3066,1692,142
74980,750204746,5.4587134,3917,1923,0,3072,1722,142
74981,750214747,5.4596206,3918,1902,0,3070,1703,142
